,PY,ToIHT
0,1.0,0.0
1,0.0,0.0
2,1.0,1.0
3,1.0,0.0
4,3.0,1.0
5,2.0,0.0
6,3.0,0.0
7,3.0,0.0
8,6.0,0.0
9,4.0,0.0
10,7.0,0.0
11,14.0,1.0
12,22.0,0.0
13,26.0,0.0
14,32.0,0.0
15,47.0,1.0
16,57.0,1.0
17,94.0,3.0
18,132.0,5.0
19,179.0,3.0
20,203.0,6.0
21,258.0,10.0
22,362.0,5.0
23,505.0,21.0
24,739.0,18.0
25,1011.0,28.0
26,1289.0,37.0
27,1551.0,61.0
28,1924.0,47.0
29,2326.0,64.0
30,2769.0,66.0
31,3418.0,68.0
32,3885.0,82.0
33,4010.0,96.0
34,4146.0,102.0
35,4342.0,109.0
36,4766.0,131.0
37,5286.0,129.0
38,5768.0,149.0
39,6418.0,170.0
40,7033.0,185.0
41,7433.0,152.0
42,7852.0,187.0
43,8632.0,188.0
44,9204.0,192.0
45,9259.0,191.0
46,9083.0,188.0
47,8591.0,176.0
48,8044.0,162.0
49,7669.0,151.0
50,7410.0,163.0
51,7380.0,163.0
52,7387.0,134.0
53,7084.0,147.0
54,6692.0,140.0
55,6264.0,149.0
56,5970.0,136.0
57,5789.0,132.0
58,5618.0,119.0
59,5648.0,110.0
60,5635.0,129.0
61,5459.0,151.0
62,5228.0,116.0
63,4876.0,111.0
64,4865.0,129.0
65,4795.0,103.0
66,4750.0,107.0
67,4683.0,104.0
68,4483.0,81.0
69,4242.0,99.0
70,4011.0,106.0
71,3829.0,94.0
72,3737.0,87.0
73,3672.0,78.0
74,3663.0,81.0
75,3515.0,86.0
76,3366.0,68.0
77,3213.0,83.0
78,3129.0,70.0
79,3060.0,72.0
80,2956.0,55.0
81,2886.0,65.0
82,2791.0,50.0
83,2635.0,62.0
84,2538.0,57.0
85,2452.0,58.0
86,2339.0,49.0
87,2311.0,43.0
88,2219.0,45.0
89,2169.0,51.0
90,2046.0,40.0
91,1924.0,45.0
92,1813.0,44.0
93,1807.0,52.0
94,1806.0,48.0
95,1751.0,46.0
96,1649.0,33.0
97,1546.0,41.0
98,1470.0,38.0
99,1385.0,31.0
100,1348.0,39.0
101,1307.0,35.0
102,1264.0,22.0
103,1178.0,19.0
104,1111.0,21.0
105,1045.0,34.0
106,1033.0,24.0
107,1011.0,23.0
108,971.0,28.0
109,996.0,26.0
110,976.0,19.0
111,898.0,21.0
112,1.0,0.0
113,0.0,0.0
114,0.0,0.0
115,3.0,0.0
116,5.0,0.0
117,4.0,0.0
118,2.0,0.0
119,5.0,1.0
120,6.0,0.0
121,9.0,0.0
122,13.0,0.0
123,16.0,1.0
124,22.0,2.0
125,21.0,1.0
126,33.0,1.0
127,43.0,1.0
128,58.0,3.0
129,80.0,3.0
130,134.0,2.0
131,163.0,6.0
132,199.0,11.0
133,252.0,6.0
134,323.0,16.0
135,470.0,7.0
136,635.0,16.0
137,874.0,34.0
138,1134.0,27.0
139,1383.0,35.0
140,1726.0,30.0
141,2079.0,62.0
142,2485.0,60.0
143,2925.0,78.0
144,3401.0,66.0
145,3526.0,86.0
